,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Graaff-Reinet,-32.2522,24.5308,44.92,82,42,2.53,ZA,2021-10-04 01:05:50
1,Ushuaia,-54.8,-68.3,38.86,65,90,17.27,AR,2021-10-04 01:08:16
2,Kapaa,22.0752,-159.319,78.19,85,90,1.99,US,2021-10-04 01:12:01
3,Saint-Philippe,-21.3585,55.7679,69.39,82,49,10.83,RE,2021-10-04 01:12:01
4,Busselton,-33.65,115.3333,55.04,73,100,15.88,AU,2021-10-04 01:12:02
5,Nemuro,43.3236,145.575,62.28,85,100,25.17,JP,2021-10-04 01:12:02
6,Kodiak,57.79,-152.4072,43.36,50,0,5.53,US,2021-10-04 01:09:13
7,Vaini,-21.2,-175.2,75.36,78,75,10.36,TO,2021-10-04 01:12:03
8,Punta Arenas,-53.15,-70.9167,39.31,75,0,31.07,CL,2021-10-04 01:12:03
9,Ourossogui,15.6064,-13.3211,88.77,46,65,4.41,SN,2021-10-04 01:12:04
10,Bluff,-46.6,168.3333,51.8,79,100,24.65,NZ,2021-10-04 01:12:04
11,Barrow,71.2906,-156.7887,28.42,74,90,6.91,US,2021-10-04 01:12:05
12,Atuona,-9.8,-139.0333,77.49,76,13,14.72,PF,2021-10-04 01:12:05
13,Yamada,39.4667,141.95,76.48,50,0,8.88,JP,2021-10-04 01:12:05
14,Rikitea,-23.1203,-134.9692,73.71,67,100,17.63,PF,2021-10-04 01:12:06
15,Broken Hill,-31.95,141.4333,62.26,35,5,23.82,AU,2021-10-04 01:12:06
16,Awbari,26.5921,12.7805,75.13,33,2,9.57,LY,2021-10-04 01:12:07
17,Serro,-18.6047,-43.3794,71.89,61,37,1.01,BR,2021-10-04 01:12:07
18,Policka,49.7146,16.2654,56.03,93,78,7.45,CZ,2021-10-04 01:12:07
19,Port Hedland,-20.3167,118.5667,80.65,22,1,5.75,AU,2021-10-04 01:12:08
20,Jatai,-17.8814,-51.7144,77.34,56,100,3.29,BR,2021-10-04 01:09:00
21,Albany,42.6001,-73.9662,61.66,94,100,2.28,US,2021-10-04 01:12:08
22,Dikson,73.5069,80.5464,35.37,98,100,22.84,RU,2021-10-04 01:12:09
23,Kangaatsiaq,68.3065,-53.4641,31.93,63,92,5.5,GL,2021-10-04 01:12:09
24,Santa Branca,-23.3967,-45.8839,65.46,94,75,3.44,BR,2021-10-04 01:12:10
25,Ampanihy,-24.7,44.75,73.67,58,100,5.26,MG,2021-10-04 01:12:10
26,Itarema,-2.9248,-39.9167,79.32,84,8,16.6,BR,2021-10-04 01:12:11
27,Kathmandu,27.7167,85.3167,68.22,94,40,3.44,NP,2021-10-04 01:08:22
28,Fortuna,40.5982,-124.1573,79.48,66,1,1.01,US,2021-10-04 01:08:55
29,Aklavik,68.2191,-135.0107,34.52,97,100,15.35,CA,2021-10-04 01:12:11
30,East London,-33.0153,27.9116,56.44,70,8,4.54,ZA,2021-10-04 01:12:12
31,Te Anau,-45.4167,167.7167,52.27,81,98,1.36,NZ,2021-10-04 01:12:12
32,Tiksi,71.6872,128.8694,26.01,82,100,17.58,RU,2021-10-04 01:12:13
33,Thoen,17.6129,99.2161,77.11,94,100,0.94,TH,2021-10-04 01:12:13
34,Bourail,-21.5667,165.4833,83.66,55,20,11.25,NC,2021-10-04 01:12:13
35,Mahebourg,-20.4081,57.7,71.26,88,75,12.66,MU,2021-10-04 01:12:14
36,Yellowknife,62.456,-114.3525,47.41,78,0,8.7,CA,2021-10-04 01:12:14
37,Mahanoro,-19.9,48.8,70.23,86,90,6.6,MG,2021-10-04 01:12:15
38,La Rioja,42.25,-2.5,42.48,85,0,5.21,ES,2021-10-04 01:12:15
39,Port Alfred,-33.5906,26.891,54.54,75,2,7.85,ZA,2021-10-04 01:12:16
40,Hermanus,-34.4187,19.2345,51.91,74,36,8.88,ZA,2021-10-04 01:12:16
41,Hambantota,6.1241,81.1185,79.72,81,100,14.65,LK,2021-10-04 01:12:17
42,Isangel,-19.55,169.2667,86.11,74,20,0.0,VU,2021-10-04 01:12:17
43,Salalah,17.0151,54.0924,80.69,83,75,3.44,OM,2021-10-04 01:12:18
44,Halifax,44.6453,-63.5724,51.69,92,99,5.82,CA,2021-10-04 01:09:14
45,Beisfjord,68.3751,17.5988,55.45,89,100,10.02,NO,2021-10-04 01:12:19
46,Takoradi,4.8845,-1.7554,76.75,91,100,5.55,GH,2021-10-04 01:12:19
47,Zhangjiakou,40.81,114.8794,52.63,45,100,8.77,CN,2021-10-04 01:12:20
48,Hamadan,34.7992,48.5146,58.5,41,0,4.52,IR,2021-10-04 01:12:20
49,Totoral,-17.4053,-70.365,59.92,43,0,0.11,PE,2021-10-04 01:12:20
50,Bethel,41.3712,-73.414,68.76,87,90,0.0,US,2021-10-04 01:09:32
51,Vila Velha,-20.3297,-40.2925,78.75,78,90,14.97,BR,2021-10-04 01:12:21
52,Ouadda,8.0777,22.4007,66.4,95,74,1.95,CF,2021-10-04 01:12:21
