City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Graaff-Reinet,ZA,44.92,-32.2522,24.5308,Rietjiesbos B&B
3,Saint-Philippe,RE,69.39,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
4,Busselton,AU,55.04,-33.65,115.3333,Observatory Guest House
5,Nemuro,JP,62.28,43.3236,145.575,Hotel Nemuro Kaiyoutei
6,Kodiak,US,43.36,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
10,Bluff,NZ,51.8,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
15,Broken Hill,AU,62.26,-31.95,141.4333,Royal Exchange Hotel
18,Policka,CZ,56.03,49.7146,16.2654,Lidmiluv Mlýn
21,Albany,US,61.66,42.6001,-73.9662,
24,Santa Branca,BR,65.46,-23.3967,-45.8839,Jardins do Mirante
27,Kathmandu,NP,68.22,27.7167,85.3167,Hotel Shanker Kathmandu
30,East London,ZA,56.44,-33.0153,27.9116,Tu Casa
31,Te Anau,NZ,52.27,-45.4167,167.7167,Kingsgate Hotel Te Anau
36,Yellowknife,CA,47.41,62.456,-114.3525,The Explorer Hotel
38,La Rioja,ES,42.48,42.25,-2.5,Casa Concejos
39,Port Alfred,ZA,54.54,-33.5906,26.891,The Halyards Hotel
40,Hermanus,ZA,51.91,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Halifax,CA,51.69,44.6453,-63.5724,Hotel Halifax
45,Beisfjord,NO,55.45,68.3751,17.5988,
47,Zhangjiakou,CN,52.63,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
48,Hamadan,IR,58.5,34.7992,48.5146,Parsian BuAli Hotel
49,Totoral,PE,59.92,-17.4053,-70.365,
50,Bethel,US,68.76,41.3712,-73.414,Courtyard by Marriott Danbury
52,Ouadda,CF,66.4,8.0777,22.4007,
54,Pingliang,CN,49.23,35.5392,106.6861,North Gate Hostel
57,Biscarrosse,FR,54.75,44.3945,-1.1672,Saint Hubert
61,Blagoyevo,RU,41.63,63.3667,47.9167,
63,Hobart,AU,62.26,-42.8794,147.3294,Mantra on Collins Hobart
67,Jamestown,US,67.32,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Lalibela,ET,56.71,12.0333,39.0333,Honey Land Hotel Lalibela
71,Volosovo,RU,43.36,59.4333,29.4833,Nairi
73,Lebu,CL,48.92,-37.6167,-73.65,Hostal Las Lilas
74,Carnarvon,AU,68.07,-24.8667,113.6333,Hospitality Carnarvon
77,Puerto Ayora,EC,69.39,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Chuy,UY,48.74,-33.6971,-53.4616,Nuevo Hotel Plaza
94,Cape Town,ZA,55.27,-33.9258,18.4232,Southern Sun Waterfront Cape Town
96,Maldonado,UY,56.23,-34.6667,-54.9167,La Cimarrona
